Model ID	Model Family Name	Description
PF09879.12	DUF2106	Predicted membrane protein (DUF2106)
PF09880.12	DUF2107	Predicted membrane protein (DUF2107)
PF09881.12	DUF2108	Predicted membrane protein (DUF2108)
PF09882.12	DUF2109	Predicted membrane protein (DUF2109)
PF09883.12	DUF2110	Uncharacterized protein conserved in archaea (DUF2110)
PF09884.12	DUF2111	Uncharacterized protein conserved in archaea (DUF2111)
PF09885.12	DUF2112	Uncharacterized protein conserved in archaea (DUF2112)
PF09886.12	DUF2113	Uncharacterized protein conserved in archaea (DUF2113)
PF09887.12	DUF2114	Uncharacterized protein conserved in archaea (DUF2114)
PF09888.12	DUF2115	Uncharacterized protein conserved in archaea (DUF2115)
PF09889.12	DUF2116	Uncharacterized protein containing a Zn-ribbon (DUF2116)
